Original Binary String Length,Almost Balanced,3-RLL,Almost Balanced And RLL
504,2.0,6.0,6.0
505,1.0,5.0,5.0
506,2.0,6.0,6.0
507,1.0,5.0,5.0
508,2.0,6.0,6.0
509,1.0,5.0,5.0
510,2.0,6.0,6.0
511,1.0,5.0,5.0
512,2.0,6.0,6.0
513,1.0,5.0,5.0
514,2.0,6.0,6.0
515,1.0,5.0,5.0
516,2.0,6.0,6.0
517,1.0,5.0,5.0
518,2.0,6.0,6.0
519,1.0,5.0,5.0
520,2.0,6.0,6.0
521,1.0,5.0,5.0
522,2.0,6.0,6.0
523,1.0,5.0,5.0
524,2.0,6.0,6.0
525,1.0,5.0,5.0
526,2.0,6.0,6.0
527,1.0,5.0,5.0
528,2.0,6.0,6.0
529,1.0,5.0,5.0
530,2.0,6.0,6.0
531,1.0,5.0,5.0
532,2.0,6.0,6.0
533,1.0,5.0,5.0
534,2.0,6.0,6.0
535,1.0,5.0,5.0
536,2.0,6.0,6.0
537,1.0,5.0,5.0
538,2.0,6.0,6.0
539,1.0,5.0,5.0
540,2.0,6.0,6.0
541,1.0,5.0,5.0
542,2.0,6.0,6.0
543,1.0,5.0,5.0
544,2.0,6.0,6.0
545,1.0,5.0,5.0
546,2.0,6.0,6.0
547,1.0,5.0,5.0
548,2.0,6.0,6.0
549,1.0,5.0,5.0
550,2.0,6.0,6.0
551,1.0,5.0,5.0
552,2.0,6.0,6.0
553,1.0,5.0,5.0
554,2.0,6.0,6.0
555,1.0,5.0,5.0
556,2.0,6.0,6.0
557,1.0,5.0,7.0
558,2.0,6.0,6.0
559,1.0,5.0,7.0
560,2.0,6.0,6.0
561,1.0,5.0,7.0
562,2.0,6.0,6.0
563,1.0,5.0,7.0
564,2.0,6.0,6.0
565,1.0,5.0,7.0
566,2.0,6.0,6.0
567,1.0,5.0,7.0
568,2.0,6.0,6.0
569,1.0,7.0,7.0
570,2.0,6.0,6.0
571,1.0,7.0,7.0
572,2.0,6.0,6.0
573,1.0,7.0,7.0
574,2.0,6.0,6.0
575,1.0,7.0,7.0
576,2.0,6.0,6.0
577,1.0,7.0,7.0
578,2.0,6.0,6.0
579,1.0,7.0,7.0
580,2.0,6.0,6.0
581,1.0,7.0,7.0
582,2.0,6.0,6.0
583,1.0,7.0,7.0
584,2.0,6.0,6.0
585,1.0,7.0,7.0
586,2.0,6.0,6.0
587,1.0,7.0,7.0
588,2.0,6.0,6.0
589,1.0,7.0,7.0
590,2.0,6.0,6.0
591,1.0,7.0,7.0
592,2.0,6.0,6.0
593,1.0,7.0,7.0
594,2.0,6.0,6.0
595,1.0,7.0,7.0
596,2.0,6.0,6.0
597,1.0,7.0,7.0
598,2.0,6.0,6.0
599,1.0,7.0,7.0
600,2.0,6.0,6.0
601,1.0,7.0,7.0
602,2.0,6.0,6.0
603,1.0,7.0,7.0
604,2.0,6.0,6.0
605,1.0,7.0,7.0
606,2.0,6.0,6.0
607,1.0,7.0,7.0
608,2.0,6.0,6.0
609,1.0,7.0,7.0
610,2.0,6.0,6.0
611,1.0,7.0,7.0
612,2.0,6.0,6.0
613,1.0,7.0,7.0
614,2.0,6.0,6.0
615,1.0,7.0,7.0
616,2.0,6.0,6.0
617,1.0,7.0,7.0
618,2.0,6.0,6.0
619,1.0,7.0,7.0
620,2.0,6.0,6.0
621,1.0,7.0,7.0
622,2.0,6.0,6.0
623,1.0,7.0,7.0
624,2.0,6.0,6.0
625,1.0,7.0,7.0
626,2.0,6.0,6.0
627,1.0,7.0,7.0
628,2.0,6.0,6.0
629,1.0,7.0,7.0
630,2.0,6.0,6.0
631,1.0,7.0,7.0
632,2.0,6.0,6.0
633,1.0,7.0,7.0
634,2.0,6.0,6.0
635,1.0,7.0,7.0
636,2.0,6.0,6.0
637,1.0,7.0,7.0
638,2.0,6.0,6.0
639,1.0,7.0,7.0
640,2.0,6.0,6.0
641,1.0,7.0,7.0
642,2.0,6.0,6.0
643,1.0,7.0,7.0
644,2.0,6.0,6.0
645,1.0,7.0,7.0
646,2.0,6.0,6.0
647,1.0,7.0,7.0
648,2.0,6.0,6.0
649,1.0,7.0,7.0
650,2.0,6.0,6.0
651,1.0,7.0,7.0
652,2.0,6.0,6.0
653,1.0,7.0,7.0
654,2.0,6.0,6.0
655,1.0,7.0,7.0
656,2.0,6.0,6.0
657,1.0,7.0,7.0
658,2.0,6.0,6.0
659,1.0,7.0,7.0
660,2.0,6.0,6.0
661,1.0,7.0,7.0
662,2.0,6.0,6.0
663,1.0,7.0,7.0
664,2.0,6.0,6.0
665,1.0,7.0,7.0
666,2.0,6.0,6.0
667,1.0,7.0,7.0
668,2.0,6.0,6.0
669,1.0,7.0,7.0
670,2.0,6.0,6.0
671,1.0,7.0,7.0
672,2.0,6.0,8.0
673,1.0,7.0,7.0
674,2.0,6.0,8.0
675,1.0,7.0,7.0
676,2.0,6.0,8.0
677,1.0,7.0,7.0
678,2.0,6.0,8.0
679,1.0,7.0,7.0
680,2.0,8.0,8.0
681,1.0,7.0,7.0
682,2.0,8.0,8.0
683,1.0,7.0,7.0
684,2.0,8.0,8.0
685,1.0,7.0,7.0
686,2.0,8.0,8.0
687,1.0,7.0,7.0
688,2.0,8.0,8.0
689,1.0,7.0,7.0
690,2.0,8.0,8.0
691,1.0,7.0,7.0
692,2.0,8.0,8.0
693,1.0,7.0,7.0
694,2.0,8.0,8.0
695,1.0,7.0,7.0
696,2.0,8.0,8.0
697,1.0,7.0,7.0
698,2.0,8.0,8.0
699,1.0,7.0,7.0
700,2.0,8.0,8.0
701,1.0,7.0,7.0
702,2.0,8.0,8.0
703,1.0,7.0,7.0
704,2.0,8.0,8.0
705,1.0,7.0,7.0
706,2.0,8.0,8.0
707,1.0,7.0,7.0
708,2.0,8.0,8.0
709,1.0,7.0,7.0
710,2.0,8.0,8.0
711,1.0,7.0,7.0
712,2.0,8.0,8.0
713,1.0,7.0,7.0
714,2.0,8.0,8.0
715,1.0,7.0,7.0
716,2.0,8.0,8.0
717,1.0,7.0,7.0
718,2.0,8.0,8.0
719,1.0,7.0,7.0
720,2.0,8.0,8.0
721,1.0,7.0,7.0
722,2.0,8.0,8.0
723,1.0,7.0,7.0
724,2.0,8.0,8.0
725,1.0,7.0,7.0
726,2.0,8.0,8.0
727,1.0,7.0,7.0
728,2.0,8.0,8.0
729,1.0,7.0,7.0
730,2.0,8.0,8.0
731,1.0,7.0,7.0
732,2.0,8.0,8.0
733,1.0,7.0,7.0
734,2.0,8.0,8.0
735,1.0,7.0,7.0
736,2.0,8.0,8.0
737,1.0,7.0,7.0
738,2.0,8.0,8.0
739,1.0,7.0,7.0
740,2.0,8.0,8.0
741,1.0,7.0,7.0
742,2.0,8.0,8.0
743,1.0,7.0,7.0
744,2.0,8.0,8.0
745,1.0,7.0,7.0
746,2.0,8.0,8.0
747,1.0,7.0,7.0
748,2.0,8.0,8.0
749,1.0,7.0,7.0
750,2.0,8.0,8.0
751,1.0,7.0,7.0
752,2.0,8.0,8.0
753,1.0,7.0,7.0
754,2.0,8.0,8.0
755,1.0,7.0,7.0
756,2.0,8.0,8.0
757,1.0,7.0,7.0
758,2.0,8.0,8.0
759,1.0,7.0,7.0
760,2.0,8.0,8.0
761,1.0,7.0,7.0
762,2.0,8.0,8.0
763,1.0,7.0,7.0
764,2.0,8.0,8.0
765,1.0,7.0,7.0
766,2.0,8.0,8.0
767,1.0,7.0,7.0
768,2.0,8.0,8.0
769,1.0,7.0,7.0
770,2.0,8.0,8.0
771,1.0,7.0,7.0
772,2.0,8.0,8.0
773,1.0,7.0,7.0
774,2.0,8.0,8.0
775,1.0,7.0,7.0
776,2.0,8.0,8.0
777,1.0,7.0,7.0
778,2.0,8.0,8.0
779,1.0,7.0,7.0
780,2.0,8.0,8.0
781,1.0,7.0,7.0
782,2.0,8.0,8.0
783,1.0,7.0,7.0
784,2.0,8.0,8.0
785,1.0,7.0,7.0
786,2.0,8.0,8.0
787,1.0,7.0,9.0
788,2.0,8.0,8.0
789,1.0,7.0,9.0
790,2.0,8.0,8.0
791,1.0,7.0,9.0
792,2.0,8.0,8.0
793,1.0,9.0,9.0
794,2.0,8.0,8.0
795,1.0,9.0,9.0
796,2.0,8.0,8.0
797,1.0,9.0,9.0
798,2.0,8.0,8.0
799,1.0,9.0,9.0
800,2.0,8.0,8.0
801,1.0,9.0,9.0
802,2.0,8.0,8.0
803,1.0,9.0,9.0
804,2.0,8.0,8.0
805,1.0,9.0,9.0
806,2.0,8.0,8.0
807,1.0,9.0,9.0
808,2.0,8.0,8.0
809,1.0,9.0,9.0
810,2.0,8.0,8.0
811,1.0,9.0,9.0
812,2.0,8.0,8.0
813,1.0,9.0,9.0
814,2.0,8.0,8.0
815,1.0,9.0,9.0
816,2.0,8.0,8.0
817,1.0,9.0,9.0
818,2.0,8.0,8.0
819,1.0,9.0,9.0
820,2.0,8.0,8.0
821,1.0,9.0,9.0
822,2.0,8.0,8.0
823,1.0,9.0,9.0
824,2.0,8.0,8.0
825,1.0,9.0,9.0
826,2.0,8.0,8.0
827,1.0,9.0,9.0
828,2.0,8.0,8.0
829,1.0,9.0,9.0
830,2.0,8.0,8.0
831,1.0,9.0,9.0
832,2.0,8.0,8.0
833,1.0,9.0,9.0
834,2.0,8.0,8.0
835,1.0,9.0,9.0
836,2.0,8.0,8.0
837,1.0,9.0,9.0
838,2.0,8.0,8.0
839,1.0,9.0,9.0
840,2.0,8.0,8.0
841,1.0,9.0,9.0
842,2.0,8.0,8.0
843,1.0,9.0,9.0
844,2.0,8.0,8.0
845,1.0,9.0,9.0
846,2.0,8.0,8.0
847,1.0,9.0,9.0
848,2.0,8.0,8.0
849,1.0,9.0,9.0
850,2.0,8.0,8.0
851,1.0,9.0,9.0
852,2.0,8.0,8.0
853,1.0,9.0,9.0
854,2.0,8.0,8.0
855,1.0,9.0,9.0
856,2.0,8.0,8.0
857,1.0,9.0,9.0
858,2.0,8.0,8.0
859,1.0,9.0,9.0
860,2.0,8.0,8.0
861,1.0,9.0,9.0
862,2.0,8.0,8.0
863,1.0,9.0,9.0
864,2.0,8.0,8.0
865,1.0,9.0,9.0
866,2.0,8.0,8.0
867,1.0,9.0,9.0
868,2.0,8.0,8.0
869,1.0,9.0,9.0
870,2.0,8.0,8.0
871,1.0,9.0,9.0
872,2.0,8.0,8.0
873,1.0,9.0,9.0
874,2.0,8.0,8.0
875,1.0,9.0,9.0
876,2.0,8.0,8.0
877,1.0,9.0,9.0
878,2.0,8.0,8.0
879,1.0,9.0,9.0
880,2.0,8.0,8.0
881,1.0,9.0,9.0
882,2.0,8.0,8.0
883,1.0,9.0,9.0
884,2.0,8.0,8.0
885,1.0,9.0,9.0
886,2.0,8.0,8.0
887,1.0,9.0,9.0
888,2.0,8.0,8.0
889,1.0,9.0,9.0
890,2.0,8.0,8.0
891,1.0,9.0,9.0
892,2.0,8.0,8.0
893,1.0,9.0,9.0
894,2.0,8.0,8.0
895,1.0,9.0,9.0
896,2.0,8.0,8.0
897,1.0,9.0,9.0
898,2.0,8.0,8.0
899,1.0,9.0,9.0
900,2.0,8.0,8.0
901,1.0,9.0,9.0
902,2.0,8.0,10.0
903,1.0,9.0,9.0
904,2.0,8.0,10.0
905,1.0,9.0,9.0
906,2.0,10.0,10.0
907,1.0,9.0,9.0
908,2.0,10.0,10.0
909,1.0,9.0,9.0
910,2.0,10.0,10.0
911,1.0,9.0,9.0
912,2.0,10.0,10.0
913,1.0,9.0,9.0
914,2.0,10.0,10.0
915,1.0,9.0,9.0
916,2.0,10.0,10.0
917,1.0,9.0,9.0
918,2.0,10.0,10.0
919,1.0,9.0,9.0
920,2.0,10.0,10.0
921,1.0,9.0,9.0
922,2.0,10.0,10.0
923,1.0,9.0,9.0
924,2.0,10.0,10.0
925,1.0,9.0,9.0
926,2.0,10.0,10.0
927,1.0,9.0,9.0
928,2.0,10.0,10.0
929,1.0,9.0,9.0
930,2.0,10.0,10.0
931,1.0,9.0,9.0
932,2.0,10.0,10.0
933,1.0,9.0,9.0
934,2.0,10.0,10.0
935,1.0,9.0,9.0
936,2.0,10.0,10.0
937,1.0,9.0,9.0
938,2.0,10.0,10.0
939,1.0,9.0,9.0
940,2.0,10.0,10.0
941,1.0,9.0,9.0
942,2.0,10.0,10.0
943,1.0,9.0,9.0
944,2.0,10.0,10.0
945,1.0,9.0,9.0
946,2.0,10.0,10.0
947,1.0,9.0,9.0
948,2.0,10.0,10.0
949,1.0,9.0,9.0
950,2.0,10.0,10.0
951,1.0,9.0,9.0
952,2.0,10.0,10.0
953,1.0,9.0,9.0
954,2.0,10.0,10.0
955,1.0,9.0,9.0
956,2.0,10.0,10.0
957,1.0,9.0,9.0
958,2.0,10.0,10.0
959,1.0,9.0,9.0
960,2.0,10.0,10.0
961,1.0,9.0,9.0
962,2.0,10.0,10.0
963,1.0,9.0,9.0
964,2.0,10.0,10.0
965,1.0,9.0,9.0
966,2.0,10.0,10.0
967,1.0,9.0,9.0
968,2.0,10.0,10.0
969,1.0,9.0,9.0
970,2.0,10.0,10.0
971,1.0,9.0,9.0
972,2.0,10.0,10.0
973,1.0,9.0,9.0
974,2.0,10.0,10.0
975,1.0,9.0,9.0
976,2.0,10.0,10.0
977,1.0,9.0,9.0
978,2.0,10.0,10.0
979,1.0,9.0,9.0
980,2.0,10.0,10.0
981,1.0,9.0,9.0
982,2.0,10.0,10.0
983,1.0,9.0,9.0
984,2.0,10.0,10.0
985,1.0,9.0,9.0
986,2.0,10.0,10.0
987,1.0,9.0,9.0
988,2.0,10.0,10.0
989,1.0,9.0,9.0
990,2.0,10.0,10.0
991,1.0,9.0,9.0
992,2.0,10.0,10.0
993,1.0,9.0,9.0
994,2.0,10.0,10.0
995,1.0,9.0,9.0
996,2.0,10.0,10.0
997,1.0,9.0,9.0
998,2.0,10.0,10.0
999,1.0,9.0,9.0
1000,2.0,10.0,10.0
