Original Binary String Length,3-RLL and Knuth,3-RLL and Knuth with Skips,3-RLL and Knuth by blocks,6-RLL with encodings and Knuth
516,80.0,74.0,38.0,82.0
517,81.0,75.0,39.0,83.0
518,80.0,74.0,38.0,82.0
519,81.0,75.0,39.0,83.0
520,80.0,74.0,38.0,82.0
521,81.0,75.0,39.0,83.0
522,80.0,74.0,38.0,82.0
523,81.0,75.0,39.0,83.0
524,80.0,74.0,38.0,82.0
525,81.0,75.0,39.0,83.0
526,80.0,74.0,38.0,82.0
527,81.0,75.0,39.0,83.0
528,80.0,74.0,38.0,82.0
529,81.0,75.0,39.0,83.0
530,80.0,74.0,38.0,82.0
531,81.0,75.0,39.0,83.0
532,80.0,74.0,38.0,82.0
533,81.0,75.0,39.0,85.0
534,80.0,74.0,38.0,84.0
535,81.0,75.0,39.0,85.0
536,80.0,74.0,38.0,84.0
537,81.0,75.0,39.0,85.0
538,80.0,74.0,38.0,84.0
539,81.0,75.0,39.0,85.0
540,80.0,74.0,38.0,84.0
541,81.0,75.0,39.0,85.0
542,80.0,74.0,38.0,84.0
543,81.0,75.0,39.0,87.0
544,80.0,74.0,38.0,86.0
545,85.0,79.0,41.0,87.0
546,84.0,78.0,40.0,86.0
547,85.0,79.0,41.0,87.0
548,84.0,78.0,40.0,86.0
549,85.0,79.0,41.0,87.0
550,84.0,78.0,40.0,86.0
551,85.0,79.0,41.0,87.0
552,84.0,78.0,40.0,86.0
553,85.0,79.0,41.0,89.0
554,84.0,78.0,40.0,88.0
555,85.0,79.0,41.0,87.0
556,84.0,78.0,40.0,86.0
557,85.0,79.0,41.0,89.0
558,84.0,78.0,40.0,88.0
559,85.0,79.0,41.0,89.0
560,84.0,78.0,40.0,88.0
561,85.0,79.0,41.0,89.0
562,84.0,78.0,40.0,88.0
563,85.0,79.0,41.0,89.0
564,84.0,78.0,40.0,88.0
565,85.0,79.0,41.0,89.0
566,84.0,78.0,40.0,88.0
567,85.0,79.0,41.0,89.0
568,84.0,78.0,40.0,88.0
569,85.0,79.0,41.0,89.0
570,84.0,78.0,40.0,88.0
571,85.0,79.0,41.0,89.0
572,84.0,78.0,40.0,88.0
573,85.0,79.0,41.0,89.0
574,84.0,78.0,40.0,88.0
575,85.0,79.0,41.0,91.0
576,84.0,78.0,40.0,90.0
577,89.0,83.0,43.0,91.0
578,88.0,82.0,42.0,90.0
579,89.0,83.0,43.0,91.0
580,88.0,82.0,42.0,90.0
581,89.0,83.0,43.0,91.0
582,88.0,82.0,42.0,90.0
583,89.0,83.0,43.0,91.0
584,88.0,82.0,42.0,90.0
585,89.0,83.0,43.0,93.0
586,88.0,82.0,42.0,92.0
587,89.0,83.0,43.0,93.0
588,88.0,82.0,42.0,92.0
589,89.0,83.0,43.0,93.0
590,88.0,82.0,42.0,92.0
591,89.0,83.0,43.0,93.0
592,88.0,82.0,42.0,92.0
593,89.0,83.0,43.0,93.0
594,88.0,82.0,42.0,92.0
595,89.0,83.0,43.0,95.0
596,88.0,82.0,42.0,94.0
597,89.0,83.0,43.0,93.0
598,88.0,82.0,42.0,92.0
599,89.0,83.0,43.0,95.0
600,88.0,82.0,42.0,94.0
601,89.0,83.0,43.0,95.0
602,88.0,82.0,42.0,94.0
603,89.0,83.0,43.0,95.0
604,88.0,82.0,42.0,94.0
605,89.0,83.0,43.0,95.0
606,88.0,82.0,42.0,94.0
607,89.0,83.0,43.0,95.0
608,88.0,82.0,42.0,94.0
609,93.0,87.0,45.0,95.0
610,92.0,86.0,44.0,94.0
611,93.0,87.0,45.0,95.0
612,92.0,86.0,44.0,94.0
613,93.0,87.0,45.0,95.0
614,92.0,86.0,44.0,94.0
615,93.0,87.0,45.0,95.0
616,92.0,86.0,44.0,94.0
617,93.0,87.0,45.0,97.0
618,92.0,86.0,44.0,96.0
619,93.0,87.0,45.0,97.0
620,92.0,86.0,44.0,96.0
621,93.0,87.0,45.0,97.0
622,92.0,86.0,44.0,96.0
623,93.0,87.0,45.0,97.0
624,92.0,86.0,44.0,96.0
625,93.0,87.0,45.0,97.0
626,92.0,86.0,44.0,96.0
627,93.0,87.0,45.0,99.0
628,92.0,86.0,44.0,98.0
629,93.0,87.0,45.0,99.0
630,92.0,86.0,44.0,98.0
631,93.0,87.0,45.0,99.0
632,92.0,86.0,44.0,98.0
633,93.0,87.0,45.0,99.0
634,92.0,86.0,44.0,98.0
635,93.0,87.0,45.0,99.0
636,92.0,86.0,44.0,98.0
637,93.0,87.0,45.0,101.0
638,92.0,86.0,44.0,100.0
639,93.0,87.0,45.0,99.0
640,92.0,86.0,44.0,98.0
641,97.0,91.0,47.0,101.0
642,96.0,90.0,46.0,100.0
643,97.0,91.0,47.0,101.0
644,96.0,90.0,46.0,100.0
645,97.0,91.0,47.0,101.0
646,96.0,90.0,46.0,100.0
647,97.0,91.0,47.0,101.0
648,96.0,90.0,46.0,100.0
649,97.0,91.0,47.0,101.0
650,96.0,90.0,46.0,100.0
651,97.0,91.0,47.0,101.0
652,96.0,90.0,46.0,100.0
653,97.0,91.0,47.0,101.0
654,96.0,90.0,46.0,100.0
655,97.0,91.0,47.0,101.0
656,96.0,90.0,46.0,100.0
657,97.0,91.0,47.0,101.0
658,96.0,90.0,46.0,100.0
659,97.0,91.0,47.0,103.0
660,96.0,90.0,46.0,102.0
661,97.0,91.0,47.0,103.0
662,96.0,90.0,46.0,102.0
663,97.0,91.0,47.0,103.0
664,96.0,90.0,46.0,102.0
665,97.0,91.0,47.0,103.0
666,96.0,90.0,46.0,102.0
667,97.0,91.0,47.0,103.0
668,96.0,90.0,46.0,102.0
669,97.0,91.0,47.0,105.0
670,96.0,90.0,46.0,104.0
671,97.0,91.0,47.0,105.0
672,96.0,90.0,46.0,104.0
673,101.0,95.0,49.0,105.0
674,100.0,94.0,48.0,104.0
675,101.0,95.0,49.0,105.0
676,100.0,94.0,48.0,104.0
677,101.0,95.0,49.0,105.0
678,100.0,94.0,48.0,104.0
679,101.0,95.0,49.0,107.0
680,100.0,94.0,48.0,106.0
681,101.0,95.0,49.0,105.0
682,100.0,94.0,48.0,104.0
683,101.0,95.0,49.0,107.0
684,100.0,94.0,48.0,106.0
685,101.0,95.0,49.0,107.0
686,100.0,94.0,48.0,106.0
687,101.0,95.0,49.0,107.0
688,100.0,94.0,48.0,106.0
689,101.0,95.0,49.0,107.0
690,100.0,94.0,48.0,106.0
691,101.0,95.0,49.0,107.0
692,100.0,94.0,48.0,106.0
693,101.0,95.0,49.0,107.0
694,100.0,94.0,48.0,106.0
695,101.0,95.0,49.0,107.0
696,100.0,94.0,48.0,106.0
697,101.0,95.0,49.0,107.0
698,100.0,94.0,48.0,106.0
699,101.0,95.0,49.0,107.0
700,100.0,94.0,48.0,106.0
701,101.0,95.0,49.0,109.0
702,100.0,94.0,48.0,108.0
703,101.0,95.0,49.0,109.0
704,100.0,94.0,48.0,108.0
705,105.0,99.0,51.0,109.0
706,104.0,98.0,50.0,108.0
707,105.0,99.0,51.0,109.0
708,104.0,98.0,50.0,108.0
709,105.0,99.0,51.0,109.0
710,104.0,98.0,50.0,108.0
711,105.0,99.0,51.0,111.0
712,104.0,98.0,50.0,110.0
713,105.0,99.0,51.0,111.0
714,104.0,98.0,50.0,110.0
715,105.0,99.0,51.0,111.0
716,104.0,98.0,50.0,110.0
717,105.0,99.0,51.0,111.0
718,104.0,98.0,50.0,110.0
719,105.0,99.0,51.0,111.0
720,104.0,98.0,50.0,110.0
721,105.0,99.0,51.0,113.0
722,104.0,98.0,50.0,112.0
723,105.0,99.0,51.0,111.0
724,104.0,98.0,50.0,110.0
725,105.0,99.0,51.0,113.0
726,104.0,98.0,50.0,112.0
727,105.0,99.0,51.0,113.0
728,104.0,98.0,50.0,112.0
729,105.0,99.0,51.0,113.0
730,104.0,98.0,50.0,112.0
731,105.0,99.0,51.0,113.0
732,104.0,98.0,50.0,112.0
733,105.0,99.0,51.0,113.0
734,104.0,98.0,50.0,112.0
735,105.0,99.0,51.0,113.0
736,104.0,98.0,50.0,112.0
737,109.0,103.0,53.0,113.0
738,108.0,102.0,52.0,112.0
739,109.0,103.0,53.0,113.0
740,108.0,102.0,52.0,112.0
741,109.0,103.0,53.0,113.0
742,108.0,102.0,52.0,112.0
743,109.0,103.0,53.0,115.0
744,108.0,102.0,52.0,114.0
745,109.0,103.0,53.0,115.0
746,108.0,102.0,52.0,114.0
747,109.0,103.0,53.0,115.0
748,108.0,102.0,52.0,114.0
749,109.0,103.0,53.0,115.0
750,108.0,102.0,52.0,114.0
751,109.0,103.0,53.0,115.0
752,108.0,102.0,52.0,114.0
753,109.0,103.0,53.0,117.0
754,108.0,102.0,52.0,116.0
755,109.0,103.0,53.0,117.0
756,108.0,102.0,52.0,116.0
757,109.0,103.0,53.0,117.0
758,108.0,102.0,52.0,116.0
759,109.0,103.0,53.0,117.0
760,108.0,102.0,52.0,116.0
761,109.0,103.0,53.0,117.0
762,108.0,102.0,52.0,116.0
763,109.0,103.0,53.0,119.0
764,108.0,102.0,52.0,118.0
765,109.0,103.0,53.0,117.0
766,108.0,102.0,52.0,116.0
767,109.0,103.0,53.0,119.0
768,108.0,102.0,52.0,118.0
769,113.0,107.0,55.0,119.0
770,112.0,106.0,54.0,118.0
771,113.0,107.0,55.0,119.0
772,112.0,106.0,54.0,118.0
773,113.0,107.0,55.0,119.0
774,112.0,106.0,54.0,118.0
775,113.0,107.0,55.0,119.0
776,112.0,106.0,54.0,118.0
777,113.0,107.0,55.0,119.0
778,112.0,106.0,54.0,118.0
779,113.0,107.0,55.0,119.0
780,112.0,106.0,54.0,118.0
781,113.0,107.0,55.0,119.0
782,112.0,106.0,54.0,118.0
783,113.0,107.0,55.0,119.0
784,112.0,106.0,54.0,118.0
785,113.0,107.0,55.0,121.0
786,112.0,106.0,54.0,120.0
787,113.0,107.0,55.0,121.0
788,112.0,106.0,54.0,120.0
789,113.0,107.0,55.0,121.0
790,112.0,106.0,54.0,120.0
791,113.0,107.0,55.0,121.0
792,112.0,106.0,54.0,120.0
793,113.0,107.0,55.0,121.0
794,112.0,106.0,54.0,120.0
795,113.0,107.0,55.0,123.0
796,112.0,106.0,54.0,122.0
797,113.0,107.0,55.0,123.0
798,112.0,106.0,54.0,122.0
799,113.0,107.0,55.0,123.0
800,112.0,106.0,54.0,122.0
801,117.0,111.0,57.0,123.0
802,116.0,110.0,56.0,122.0
803,117.0,111.0,57.0,123.0
804,116.0,110.0,56.0,122.0
805,117.0,111.0,57.0,125.0
806,116.0,110.0,56.0,124.0
807,117.0,111.0,57.0,123.0
808,116.0,110.0,56.0,122.0
809,117.0,111.0,57.0,125.0
810,116.0,110.0,56.0,124.0
811,117.0,111.0,57.0,125.0
812,116.0,110.0,56.0,124.0
813,117.0,111.0,57.0,125.0
814,116.0,110.0,56.0,124.0
815,117.0,111.0,57.0,125.0
816,116.0,110.0,56.0,124.0
817,117.0,111.0,57.0,125.0
818,116.0,110.0,56.0,124.0
819,117.0,111.0,57.0,125.0
820,116.0,110.0,56.0,124.0
821,117.0,111.0,57.0,125.0
822,116.0,110.0,56.0,124.0
823,117.0,111.0,57.0,125.0
824,116.0,110.0,56.0,124.0
825,117.0,111.0,57.0,125.0
826,116.0,110.0,56.0,124.0
827,117.0,111.0,57.0,127.0
828,116.0,110.0,56.0,126.0
829,117.0,111.0,57.0,127.0
830,116.0,110.0,56.0,126.0
831,117.0,111.0,57.0,127.0
832,116.0,110.0,56.0,126.0
833,121.0,115.0,59.0,127.0
834,120.0,114.0,58.0,126.0
835,121.0,115.0,59.0,127.0
836,120.0,114.0,58.0,126.0
837,121.0,115.0,59.0,129.0
838,120.0,114.0,58.0,128.0
839,121.0,115.0,59.0,129.0
840,120.0,114.0,58.0,128.0
841,121.0,115.0,59.0,129.0
842,120.0,114.0,58.0,128.0
843,121.0,115.0,59.0,129.0
844,120.0,114.0,58.0,128.0
845,121.0,115.0,59.0,129.0
846,120.0,114.0,58.0,128.0
847,121.0,115.0,59.0,131.0
848,120.0,114.0,58.0,130.0
849,121.0,115.0,59.0,129.0
850,120.0,114.0,58.0,128.0
851,121.0,115.0,59.0,131.0
852,120.0,114.0,58.0,130.0
853,121.0,115.0,59.0,131.0
854,120.0,114.0,58.0,130.0
855,121.0,115.0,59.0,131.0
856,120.0,114.0,58.0,130.0
857,121.0,115.0,59.0,131.0
858,120.0,114.0,58.0,130.0
859,121.0,115.0,59.0,131.0
860,120.0,114.0,58.0,130.0
861,121.0,115.0,59.0,131.0
862,120.0,114.0,58.0,130.0
863,121.0,115.0,59.0,131.0
864,120.0,114.0,58.0,130.0
865,125.0,119.0,61.0,131.0
866,124.0,118.0,60.0,130.0
867,125.0,119.0,61.0,131.0
868,124.0,118.0,60.0,130.0
869,125.0,119.0,61.0,133.0
870,124.0,118.0,60.0,132.0
871,125.0,119.0,61.0,133.0
872,124.0,118.0,60.0,132.0
873,125.0,119.0,61.0,133.0
874,124.0,118.0,60.0,132.0
875,125.0,119.0,61.0,133.0
876,124.0,118.0,60.0,132.0
877,125.0,119.0,61.0,133.0
878,124.0,118.0,60.0,132.0
879,125.0,119.0,61.0,135.0
880,124.0,118.0,60.0,134.0
881,125.0,119.0,61.0,135.0
882,124.0,118.0,60.0,134.0
883,125.0,119.0,61.0,135.0
884,124.0,118.0,60.0,134.0
885,125.0,119.0,61.0,135.0
886,124.0,118.0,60.0,134.0
887,125.0,119.0,61.0,135.0
888,124.0,118.0,60.0,134.0
889,125.0,119.0,61.0,137.0
890,124.0,118.0,60.0,136.0
891,125.0,119.0,61.0,135.0
892,124.0,118.0,60.0,134.0
893,125.0,119.0,61.0,137.0
894,124.0,118.0,60.0,136.0
895,125.0,119.0,61.0,137.0
896,124.0,118.0,60.0,136.0
897,129.0,123.0,63.0,137.0
898,128.0,122.0,62.0,136.0
899,129.0,123.0,63.0,137.0
900,128.0,122.0,62.0,136.0
901,129.0,123.0,63.0,137.0
902,128.0,122.0,62.0,136.0
903,129.0,123.0,63.0,137.0
904,128.0,122.0,62.0,136.0
905,129.0,123.0,63.0,137.0
906,128.0,122.0,62.0,136.0
907,129.0,123.0,63.0,137.0
908,128.0,122.0,62.0,136.0
909,129.0,123.0,63.0,137.0
910,128.0,122.0,62.0,136.0
911,129.0,123.0,63.0,139.0
912,128.0,122.0,62.0,138.0
913,129.0,123.0,63.0,139.0
914,128.0,122.0,62.0,138.0
915,129.0,123.0,63.0,139.0
916,128.0,122.0,62.0,138.0
917,129.0,123.0,63.0,139.0
918,128.0,122.0,62.0,138.0
919,129.0,123.0,63.0,139.0
920,128.0,122.0,62.0,138.0
921,129.0,123.0,63.0,141.0
922,128.0,122.0,62.0,140.0
923,129.0,123.0,63.0,141.0
924,128.0,122.0,62.0,140.0
925,129.0,123.0,63.0,141.0
926,128.0,122.0,62.0,140.0
927,129.0,123.0,63.0,141.0
928,128.0,122.0,62.0,140.0
929,133.0,127.0,65.0,141.0
930,132.0,126.0,64.0,140.0
931,133.0,127.0,65.0,143.0
932,132.0,126.0,64.0,142.0
933,133.0,127.0,65.0,141.0
934,132.0,126.0,64.0,140.0
935,133.0,127.0,65.0,143.0
936,132.0,126.0,64.0,142.0
937,133.0,127.0,65.0,143.0
938,132.0,126.0,64.0,142.0
939,133.0,127.0,65.0,143.0
940,132.0,126.0,64.0,142.0
941,133.0,127.0,65.0,143.0
942,132.0,126.0,64.0,142.0
943,133.0,127.0,65.0,143.0
944,132.0,126.0,64.0,142.0
945,133.0,127.0,65.0,143.0
946,132.0,126.0,64.0,142.0
947,133.0,127.0,65.0,143.0
948,132.0,126.0,64.0,142.0
949,133.0,127.0,65.0,143.0
950,132.0,126.0,64.0,142.0
951,133.0,127.0,65.0,143.0
952,132.0,126.0,64.0,142.0
953,133.0,127.0,65.0,145.0
954,132.0,126.0,64.0,144.0
955,133.0,127.0,65.0,145.0
956,132.0,126.0,64.0,144.0
957,133.0,127.0,65.0,145.0
958,132.0,126.0,64.0,144.0
959,133.0,127.0,65.0,145.0
960,132.0,126.0,64.0,144.0
961,137.0,131.0,67.0,145.0
962,136.0,130.0,66.0,144.0
963,137.0,131.0,67.0,147.0
964,136.0,130.0,66.0,146.0
965,137.0,131.0,67.0,147.0
966,136.0,130.0,66.0,146.0
967,137.0,131.0,67.0,147.0
968,136.0,130.0,66.0,146.0
969,137.0,131.0,67.0,147.0
970,136.0,130.0,66.0,146.0
971,137.0,131.0,67.0,147.0
972,136.0,130.0,66.0,146.0
973,137.0,131.0,67.0,149.0
974,136.0,130.0,66.0,148.0
975,137.0,131.0,67.0,147.0
976,136.0,130.0,66.0,146.0
977,137.0,131.0,67.0,149.0
978,136.0,130.0,66.0,148.0
979,137.0,131.0,67.0,149.0
980,136.0,130.0,66.0,148.0
981,137.0,131.0,67.0,149.0
982,136.0,130.0,66.0,148.0
983,137.0,131.0,67.0,149.0
984,136.0,130.0,66.0,148.0
985,137.0,131.0,67.0,149.0
986,136.0,130.0,66.0,148.0
987,137.0,131.0,67.0,149.0
988,136.0,130.0,66.0,148.0
989,137.0,131.0,67.0,149.0
990,136.0,130.0,66.0,148.0
991,137.0,131.0,67.0,149.0
992,136.0,130.0,66.0,148.0
993,141.0,135.0,69.0,149.0
994,140.0,134.0,68.0,148.0
995,141.0,135.0,69.0,151.0
996,140.0,134.0,68.0,150.0
997,141.0,135.0,69.0,151.0
998,140.0,134.0,68.0,150.0
999,141.0,135.0,69.0,151.0
1000,140.0,134.0,68.0,150.0
